,Hour,Weekend,name,Proportion Of Bikes Available,lat,long
1267,23,False,Embarcadero at Vallejo,0.2857506361323155,37.799953,-122.398525
1268,5,False,Embarcadero at Vallejo,0.3071246819338421,37.799953,-122.398525
1269,1,True,Embarcadero at Vallejo,0.3974358974358974,37.799953,-122.398525
1270,16,True,Embarcadero at Vallejo,0.4916666666666666,37.799953,-122.398525
1271,10,False,Embarcadero at Vallejo,0.6238276299112799,37.799953,-122.398525
1272,15,False,Embarcadero at Vallejo,0.5789607097591891,37.799953,-122.398525
1273,13,True,Embarcadero at Vallejo,0.42265372168284787,37.799953,-122.398525
1274,4,False,Embarcadero at Vallejo,0.30661577608142493,37.799953,-122.398525
1275,2,False,Embarcadero at Vallejo,0.30508905852417295,37.799953,-122.398525
1276,18,True,Embarcadero at Vallejo,0.47500000000000003,37.799953,-122.398525
1277,19,False,Embarcadero at Vallejo,0.261323155216285,37.799953,-122.398525
1278,14,True,Embarcadero at Vallejo,0.455663430420712,37.799953,-122.398525
1279,4,True,Embarcadero at Vallejo,0.40128205128205113,37.799953,-122.398525
1280,10,True,Embarcadero at Vallejo,0.3993589743589745,37.799953,-122.398525
1281,7,True,Embarcadero at Vallejo,0.4025641025641025,37.799953,-122.398525
1282,20,False,Embarcadero at Vallejo,0.29414758269720115,37.799953,-122.398525
1283,0,False,Embarcadero at Vallejo,0.3086513994910941,37.799953,-122.398525
1284,3,False,Embarcadero at Vallejo,0.306615776081425,37.799953,-122.398525
1285,9,False,Embarcadero at Vallejo,0.48517110266159685,37.799953,-122.398525
1286,3,True,Embarcadero at Vallejo,0.3987179487179488,37.799953,-122.398525
1287,12,True,Embarcadero at Vallejo,0.4057692307692307,37.799953,-122.398525
1288,12,False,Embarcadero at Vallejo,0.5612167300380227,37.799953,-122.398525
1289,19,True,Embarcadero at Vallejo,0.46538461538461545,37.799953,-122.398525
1290,15,True,Embarcadero at Vallejo,0.4893203883495147,37.799953,-122.398525
1291,1,False,Embarcadero at Vallejo,0.3071246819338421,37.799953,-122.398525
1292,8,True,Embarcadero at Vallejo,0.38653846153846155,37.799953,-122.398525
1293,22,False,Embarcadero at Vallejo,0.291857506361323,37.799953,-122.398525
1294,7,False,Embarcadero at Vallejo,0.3035623409669211,37.799953,-122.398525
1295,13,False,Embarcadero at Vallejo,0.55234474017744,37.799953,-122.398525
1296,9,True,Embarcadero at Vallejo,0.38910256410256394,37.799953,-122.398525
1297,22,False,Commercial at Montgomery,0.28956743002544527,37.794230999999996,-122.402923
1298,13,True,Commercial at Montgomery,0.3546925566343042,37.794230999999996,-122.402923
1299,19,True,Commercial at Montgomery,0.37756410256410255,37.794230999999996,-122.402923
1300,12,False,Commercial at Montgomery,0.5809885931558935,37.794230999999996,-122.402923
1301,14,True,Commercial at Montgomery,0.3398058252427183,37.794230999999996,-122.402923
1302,21,True,Commercial at Montgomery,0.3717948717948717,37.794230999999996,-122.402923
1303,23,True,Commercial at Montgomery,0.35961538461538467,37.794230999999996,-122.402923
1304,20,False,Commercial at Montgomery,0.28931297709923665,37.794230999999996,-122.402923
1305,13,False,Commercial at Montgomery,0.5901140684410645,37.794230999999996,-122.402923
1306,17,False,Commercial at Montgomery,0.4865139949109415,37.794230999999996,-122.402923
1307,6,True,Commercial at Montgomery,0.2903846153846153,37.794230999999996,-122.402923
1308,6,False,Commercial at Montgomery,0.29923664122137394,37.794230999999996,-122.402923
1309,17,True,Commercial at Montgomery,0.35384615384615387,37.794230999999996,-122.402923
1310,4,True,Commercial at Montgomery,0.2897435897435897,37.794230999999996,-122.402923
1311,7,False,Commercial at Montgomery,0.2895674300254454,37.794230999999996,-122.402923
1312,2,True,Commercial at Montgomery,0.2919093851132686,37.794230999999996,-122.402923
1313,7,True,Commercial at Montgomery,0.2897435897435897,37.794230999999996,-122.402923
1314,8,True,Commercial at Montgomery,0.3044871794871794,37.794230999999996,-122.402923
1315,10,False,Commercial at Montgomery,0.5863117870722434,37.794230999999996,-122.402923
1316,12,True,Commercial at Montgomery,0.3557692307692308,37.794230999999996,-122.402923
1317,1,True,Commercial at Montgomery,0.29615384615384605,37.794230999999996,-122.402923
1318,3,False,Commercial at Montgomery,0.2717557251908397,37.794230999999996,-122.402923
1319,14,False,Commercial at Montgomery,0.5442332065906211,37.794230999999996,-122.402923
1320,0,True,Commercial at Montgomery,0.31089743589743585,37.794230999999996,-122.402923
1321,5,False,Commercial at Montgomery,0.2936386768447837,37.794230999999996,-122.402923
1322,9,True,Commercial at Montgomery,0.3128205128205128,37.794230999999996,-122.402923
1323,1,False,Commercial at Montgomery,0.27201017811704836,37.794230999999996,-122.402923
1324,21,False,Commercial at Montgomery,0.2916030534351145,37.794230999999996,-122.402923
1325,23,False,Commercial at Montgomery,0.28600508905852406,37.794230999999996,-122.402923
1326,18,False,Commercial at Montgomery,0.27837150127226457,37.794230999999996,-122.402923
1327,0,False,Commercial at Montgomery,0.2758269720101781,37.794230999999996,-122.402923
1328,9,False,Commercial at Montgomery,0.45171102661596974,37.794230999999996,-122.402923
1329,11,True,Commercial at Montgomery,0.34871794871794864,37.794230999999996,-122.402923
1330,4,False,Commercial at Montgomery,0.271501272264631,37.794230999999996,-122.402923
1331,8,False,Commercial at Montgomery,0.3338403041825095,37.794230999999996,-122.402923
1332,15,False,Commercial at Montgomery,0.5100126742712294,37.794230999999996,-122.402923
1333,10,True,Commercial at Montgomery,0.3314102564102565,37.794230999999996,-122.402923
1334,19,False,Commercial at Montgomery,0.23994910941475825,37.794230999999996,-122.402923
1335,15,True,Commercial at Montgomery,0.33592233009708733,37.794230999999996,-122.402923
1336,16,True,Commercial at Montgomery,0.3416666666666667,37.794230999999996,-122.402923
1337,16,False,Commercial at Montgomery,0.5472750316856781,37.794230999999996,-122.402923
1338,3,True,Commercial at Montgomery,0.29102564102564094,37.794230999999996,-122.402923
1339,18,True,Commercial at Montgomery,0.3641025641025641,37.794230999999996,-122.402923
1340,20,True,Commercial at Montgomery,0.3717948717948717,37.794230999999996,-122.402923
1341,5,True,Commercial at Montgomery,0.29038461538461535,37.794230999999996,-122.402923
1342,11,False,Commercial at Montgomery,0.5946564885496183,37.794230999999996,-122.402923
1343,22,True,Commercial at Montgomery,0.36923076923076914,37.794230999999996,-122.402923
1344,2,False,Commercial at Montgomery,0.2720101781170483,37.794230999999996,-122.402923
1348,12,False,Broadway St at Battery St,0.46449864498644977,37.798541,-122.40086200000002
1349,0,False,Broadway St at Battery St,0.3530054644808742,37.798541,-122.40086200000002
1350,20,False,Broadway St at Battery St,0.3180952380952381,37.798541,-122.40086200000002
1351,3,True,Broadway St at Battery St,0.4048109965635739,37.798541,-122.40086200000002
1352,21,True,Broadway St at Battery St,0.41580756013745707,37.798541,-122.40086200000002
1353,2,False,Broadway St at Battery St,0.35163934426229493,37.798541,-122.40086200000002
1354,23,False,Broadway St at Battery St,0.34938775510204084,37.798541,-122.40086200000002
1355,22,False,Broadway St at Battery St,0.34748299319727893,37.798541,-122.40086200000002
1356,19,False,Broadway St at Battery St,0.23972789115646262,37.798541,-122.40086200000002
1357,6,False,Broadway St at Battery St,0.37061224489795913,37.798541,-122.40086200000002
1358,17,True,Broadway St at Battery St,0.4082474226804123,37.798541,-122.40086200000002
1359,18,True,Broadway St at Battery St,0.4041237113402062,37.798541,-122.40086200000002
1360,1,True,Broadway St at Battery St,0.4048109965635737,37.798541,-122.40086200000002
1361,12,True,Broadway St at Battery St,0.402061855670103,37.798541,-122.40086200000002
1362,21,False,Broadway St at Battery St,0.33306122448979586,37.798541,-122.40086200000002
1363,0,True,Broadway St at Battery St,0.39656357388316155,37.798541,-122.40086200000002
1364,9,False,Broadway St at Battery St,0.34065040650406503,37.798541,-122.40086200000002
1365,23,True,Broadway St at Battery St,0.422680412371134,37.798541,-122.40086200000002
1366,2,True,Broadway St at Battery St,0.4020833333333332,37.798541,-122.40086200000002
1367,11,False,Broadway St at Battery St,0.4854421768707485,37.798541,-122.40086200000002
1368,3,False,Broadway St at Battery St,0.3508196721311475,37.798541,-122.40086200000002
1369,4,True,Broadway St at Battery St,0.4034364261168385,37.798541,-122.40086200000002
1370,11,True,Broadway St at Battery St,0.3958762886597938,37.798541,-122.40086200000002
1371,8,False,Broadway St at Battery St,0.24336043360433599,37.798541,-122.40086200000002
1372,14,True,Broadway St at Battery St,0.4083333333333334,37.798541,-122.40086200000002
1373,13,False,Broadway St at Battery St,0.4422764227642276,37.798541,-122.40086200000002
1374,8,True,Broadway St at Battery St,0.4048109965635739,37.798541,-122.40086200000002
1375,4,False,Broadway St at Battery St,0.3502732240437159,37.798541,-122.40086200000002
1376,7,True,Broadway St at Battery St,0.40618556701030917,37.798541,-122.40086200000002
1377,15,True,Broadway St at Battery St,0.4083333333333334,37.798541,-122.40086200000002
1378,17,False,Broadway St at Battery St,0.5140136054421769,37.798541,-122.40086200000002
1379,6,True,Broadway St at Battery St,0.4027491408934708,37.798541,-122.40086200000002
1380,15,False,Broadway St at Battery St,0.4387533875338753,37.798541,-122.40086200000002
1381,10,False,Broadway St at Battery St,0.47317073170731727,37.798541,-122.40086200000002
1382,18,False,Broadway St at Battery St,0.314013605442177,37.798541,-122.40086200000002
1383,5,False,Broadway St at Battery St,0.3480272108843536,37.798541,-122.40086200000002
1384,20,True,Broadway St at Battery St,0.4199312714776632,37.798541,-122.40086200000002
1385,14,False,Broadway St at Battery St,0.4387533875338753,37.798541,-122.40086200000002
1386,22,True,Broadway St at Battery St,0.42130584192439857,37.798541,-122.40086200000002
1387,5,True,Broadway St at Battery St,0.40412371134020614,37.798541,-122.40086200000002
1388,9,True,Broadway St at Battery St,0.41030927835051534,37.798541,-122.40086200000002
1389,13,True,Broadway St at Battery St,0.4055555555555554,37.798541,-122.40086200000002
